country,year,dad,mom,daughter,son,continent
China,1970,5.394006252,3.170193911,7.184784889,8.350502968,Asia
China,1980,7.126106739,5.437383175,10.0065403,10.01413345,Asia
Colombia,1940,2.714060068,2.487004519,5.257525921,5.73996973,Americas
Colombia,1950,3.467657804,3.081040621,6.975795746,7.677182674,Americas
Colombia,1960,3.779906034,3.414915562,8.52018261,8.47394371,Americas
Colombia,1970,4.685164452,4.233392715,9.768948555,9.340069771,Americas
Colombia,1980,5.850203037,5.601363182,10.90603542,10.39564323,Americas
Comoros,1940,NA,0.454665214,0.163873836,NA,Africa
Comoros,1950,0.69954443,0.861564577,0.131227374,2.278649569,Africa
Comoros,1960,1.199424148,0.757888913,1.831696153,4.025085926,Africa
Comoros,1970,2.450129271,1.280297756,3.4061203,6.831607819,Africa
Comoros,1980,2.938557625,1.408333659,6.754384995,10.02964687,Africa
"Congo, Dem. Rep.",1940,2.469537258,NA,NA,6.510795116,Africa
"Congo, Dem. Rep.",1950,3.138866901,NA,NA,7.884073734,Africa
"Congo, Dem. Rep.",1960,4.042050838,NA,NA,8.194851875,Africa
"Congo, Dem. Rep.",1970,4.564143658,NA,NA,8.332710266,Africa
"Congo, Dem. Rep.",1980,5.542179108,NA,NA,8.428104401,Africa
"Congo, Rep.",1980,10.82501125,9.504285812,10.69793224,10.39617634,Africa
Cote d'Ivoire,1980,3.841712475,2.000681877,5.914181232,5.982335091,Africa
Croatia,1940,5.912882805,4.244226456,8.512012482,10.04165077,Europe
Croatia,1950,6.932804108,5.725776672,10.65310383,11.20869827,Europe
Croatia,1960,7.570236683,6.96395731,11.58577156,11.34682941,Europe
Croatia,1970,9.497249603,8.86461544,12.09345055,11.70254898,Europe
Croatia,1980,10.52150631,10.19428635,12.88866234,12.22765732,Europe
Cyprus,1940,4.448496819,3.072329998,8.456232071,10.48996735,Europe
Cyprus,1950,5.89129591,3.664809227,10.45137978,11.36795712,Europe
Cyprus,1960,6.672022343,5.007380009,11.9351387,13.10431576,Europe
Cyprus,1970,9.5779953,7.716424465,13.4872427,13.83127213,Europe
Cyprus,1980,10.18993759,9.927476883,14.2792244,13.69119835,Europe
Czech Republic,1940,11.33388424,9.92302227,11.63046265,12.83157158,Europe
Czech Republic,1950,11.76590252,10.70341396,12.32438564,12.9025898,Europe
Czech Republic,1960,12.39192486,11.58343887,13.22601604,13.14228249,Europe
Czech Republic,1970,12.55191422,12.11870003,13.0912056,13.38038254,Europe
Czech Republic,1980,13.27079582,12.56397629,14.16104794,13.86445141,Europe
Denmark,1940,9.125851631,7.434715748,10.85307503,11.32539272,Europe
Denmark,1950,9.747426987,7.898267746,12.42253304,12.59892178,Europe
Denmark,1960,10.4036541,9.671218872,13.85238171,12.92679119,Europe
Denmark,1970,11.96444035,11.33697891,14.30372524,14.46530724,Europe
Denmark,1980,12.74934864,12.36600494,14.42464066,14.30385017,Europe
Djibouti,1980,3.471399546,1.039746523,6.907576561,8.234575272,Africa
Ecuador,1940,4.820119858,3.732232094,5.414761066,6.974215031,Americas
Ecuador,1950,5.06797266,4.262938499,7.283503532,8.287075996,Americas
Ecuador,1960,5.616252899,4.784245491,9.071266174,9.622290611,Americas
Ecuador,1970,6.614106655,5.641386986,9.991457939,9.869837761,Americas
Ecuador,1980,7.702293396,6.88445282,10.71017933,10.59462929,Americas
"Egypt, Arab Rep.",1940,1.4620713,0.454777747,3.032241821,6.644282818,Africa
"Egypt, Arab Rep.",1950,1.657325506,0.564677238,4.443130016,7.476024628,Africa
"Egypt, Arab Rep.",1960,1.921694517,0.554243267,5.919625282,8.955812454,Africa
"Egypt, Arab Rep.",1970,2.580538034,1.187272191,8.414794922,10.01711655,Africa
"Egypt, Arab Rep.",1980,3.903123379,2.303054094,9.540119171,10.26804066,Africa
Estonia,1940,8.532804489,7.72239399,13.08096313,12.59215355,Europe
Estonia,1950,9.556141853,9.745187759,13.85688877,12.9183321,Europe
Estonia,1960,10.82774162,11.60473061,13.82836342,12.98184872,Europe
Estonia,1970,12.94794178,12.9588213,14.45313358,13.59840965,Europe
Estonia,1980,13.62027454,13.81516457,14.69700813,13.88096523,Europe
Ethiopia,1940,0.477722675,0.136885136,0.315669388,0.449291617,Africa
Ethiopia,1950,0.701887965,0.226469487,0.433700204,1.721355915,Africa
Ethiopia,1960,0.952448845,0.248876765,1.213405371,3.223233223,Africa
Ethiopia,1970,1.63132143,0.424340606,1.914992213,4.28429985,Africa
Ethiopia,1980,2.373640537,1.073929667,3.28871727,5.511544704,Africa
Fiji,1980,8.781236649,9.669173241,12.40946484,11.32938099,Oceania
Finland,1940,5.565743923,5.426415443,11.64951611,11.20039845,Europe
Finland,1950,6.968952179,6.350320816,13.41777325,12.70308018,Europe
Finland,1960,8.662919044,8.594447136,15.06818199,13.78774166,Europe
Finland,1970,11.48366737,11.55704975,15.79218483,14.88053989,Europe
Finland,1980,12.51623631,12.8241415,15.57982731,14.60669041,Europe
France,1940,6.233880997,5.405319691,10.39765739,11.02272606,Europe
France,1950,7.689689159,5.89468956,11.4403429,11.9646616,Europe
France,1960,7.590095997,7.215489388,13.10478783,12.35362148,Europe
France,1970,9.437288284,7.933168411,14.27888584,14.08818722,Europe
France,1980,11.11224079,9.624640465,14.58160591,14.72700977,Europe
Gabon,1980,9.780420303,8.145810127,9.591056824,8.733246803,Africa
Georgia,1940,9.931615829,9.600191116,12.38199711,12.94685936,Europe
Georgia,1950,9.446040154,10.67587185,12.46330738,12.14711857,Europe
Georgia,1960,10.8788538,11.41809654,12.74219322,12.6712532,Europe
Georgia,1970,11.95741367,12.07778072,13.10958958,12.45549679,Europe
Georgia,1980,12.34352493,12.25501823,13.31720066,12.73337746,Europe
Germany,1940,13.18520737,10.88194942,11.70298958,13.50207996,Europe
Germany,1950,13.3000021,11.24955177,13.17953873,13.68301201,Europe
Germany,1960,13.08824921,11.7978735,13.97589207,14.12827396,Europe
Germany,1970,13.25738239,12.41081429,14.50744629,14.57095337,Europe
Germany,1980,14.28407288,13.00722408,14.96793079,14.73053837,Europe
Ghana,1940,1.423945308,0.374160707,3.063650131,6.415803909,Africa
Ghana,1950,1.851403475,0.854220212,5.283251762,7.925515175,Africa
Ghana,1960,3.536434412,1.393044114,5.535490036,8.04276371,Africa
Ghana,1970,4.52650404,2.231214285,5.703223228,8.319531441,Africa
Ghana,1980,6.034484863,3.361850739,7.2000103,9.192231178,Africa
Greece,1940,5.182532787,4.515994072,7.698923588,8.847847939,Europe
Greece,1950,6.891180992,5.380543232,10.08273602,10.83040047,Europe
Greece,1960,7.363706112,6.098432064,11.53009415,11.9825058,Europe
Greece,1970,8.024072647,8.0661726,12.84850693,12.29815483,Europe
Greece,1980,10.96521568,8.915902138,13.10081387,13.61821461,Europe
Guatemala,1940,1.147053123,1.09506321,2.340060711,2.769931078,Americas
Guatemala,1950,1.395320892,1.126219749,2.801953077,3.798167229,Americas
Guatemala,1960,1.49951148,1.160591841,3.599362373,4.753284454,Americas
Guatemala,1970,2.103403091,1.65864706,4.747279167,5.644527912,Americas
Guatemala,1980,2.963973045,2.096196651,6.170473099,7.114142895,Americas
Guinea,1940,0.464769304,0.113601595,0.280400842,1.638176084,Africa
Guinea,1950,0.600941896,0.099529207,0.951219559,3.947987318,Africa
Guinea,1960,1.127475142,0.219922721,1.097342014,3.297594786,Africa
Guinea,1970,1.953711987,0.503281355,1.233787656,3.42694521,Africa
Guinea,1980,2.529621363,1.827457905,6.01348877,4.997771263,Africa
Guinea-Bissau,1980,1.929150224,0.947656631,3.473197937,3.385990381,Africa
Hungary,1940,8.349067688,6.688826561,11.60582066,12.29481602,Europe
Hungary,1950,9.537906647,8.095199585,12.43266678,12.68893814,Europe
Hungary,1960,10.04078388,9.410144806,13.01120377,12.31746006,Europe
Hungary,1970,11.45090294,10.60326862,13.21696758,12.98005772,Europe
Hungary,1980,11.7110424,10.80713654,13.34352684,13.10267258,Europe
Iceland,1950,10.12506866,8.930856705,14.14335823,14.37081528,Europe
Iceland,1960,12.14947891,9.595473289,15.55506802,14.81813431,Europe
Iceland,1970,13.72927856,11.01865292,16.36094856,15.03351593,Europe
Iceland,1980,13.69408321,12.76852322,16.58952141,15.17274761,Europe
India,1940,2.059480429,0.431548953,1.39903152,4.835920811,Asia
India,1950,2.432259798,0.881519139,3.244351149,5.721421719,Asia
India,1960,2.737436533,1.000319123,3.612392187,6.332557201,Asia
India,1970,3.586042166,1.426381707,4.681651592,7.506875515,Asia
India,1980,4.69319582,2.098122835,6.73830986,8.623197556,Asia
Indonesia,1940,2.312783718,1.114691019,3.101387501,5.691601753,Oceania
Indonesia,1950,3.457100153,1.912763476,4.835901737,6.928919792,Oceania
Indonesia,1960,4.585558414,2.867768526,6.420636654,8.293710709,Oceania
Indonesia,1970,5.192306042,3.728204966,8.808172226,9.468060493,Oceania
Indonesia,1980,5.740912437,4.507160664,10.00734425,10.23325348,Oceania
"Iran, Islamic Rep.",1980,5.249607086,4.27324295,11.37188625,10.53081417,Asia
Iraq,1940,0.510157168,0.058558341,1.791032434,5.07962656,Asia
Iraq,1950,0.786707044,0.218135968,2.6929667,6.447700977,Asia
Iraq,1960,1.304297447,0.382330865,4.578295231,8.320962906,Asia
Iraq,1970,2.516987085,0.807617188,5.231938362,7.171503544,Asia
Iraq,1980,4.544045925,1.906549096,5.479084015,6.785463333,Asia
Ireland,1940,5.370691776,5.541399002,12.16162109,12.05946064,Europe
Ireland,1950,6.473916531,6.739877701,13.56872177,13.51064968,Europe
Ireland,1960,7.379422665,7.436335564,14.46823025,14.35378647,Europe
Ireland,1970,8.543811798,8.893216133,15.43840599,14.83620453,Europe
Ireland,1980,9.95737648,10.11091137,15.81794834,15.71456909,Europe
Israel,1940,5.365103245,4.838186264,11.4065876,11.73424339,Asia
Israel,1950,6.43540144,5.593500614,12.44198704,12.07816887,Asia
Israel,1960,7.34319973,7.051755428,13.21126366,12.91008759,Asia
Israel,1970,9.158823013,9.535224915,13.76617336,13.23979568,Asia
Israel,1980,11.4930315,11.38902473,13.66333389,13.36601448,Asia
Italy,1940,5.728382587,4.550832272,8.09872818,9.264469147,Europe
Italy,1950,6.902115822,6.070212364,11.08526516,11.4152813,Europe
Italy,1960,8.285196304,7.140275478,12.10031223,12.21126461,Europe
Italy,1970,9.357103348,8.966868401,13.22027493,12.83678818,Europe
Italy,1980,10.83035469,10.73290348,13.66381454,13.62485695,Europe
Japan,1940,8.813981056,8.197879791,11.84619331,12.71184158,Asia
Japan,1950,9.421405792,8.778655052,13.00588608,13.78761864,Asia
Japan,1960,11.05599499,10.57987499,13.40337849,13.77105045,Asia
Japan,1970,11.96299553,12.01131725,13.66376686,13.90262222,Asia
Japan,1980,13.4752903,12.97804832,14.17285538,14.31265926,Asia
Jordan,1940,1.526574969,0.637612462,4.250031471,9.805724144,Asia
Jordan,1950,2.297436714,0.96420449,7.763307095,10.62644672,Asia
Jordan,1960,3.227111578,1.58237803,10.18618774,11.03893757,Asia
Jordan,1970,5.023459911,2.987099171,11.34209633,11.18834019,Asia
Jordan,1980,7.776378155,6.126008511,12.53683567,12.2698698,Asia
Kazakhstan,1940,NA,6.141041756,11.63884163,NA,Asia
Kazakhstan,1950,9.131231308,8.55459404,12.76101685,12.05338764,Asia
Kazakhstan,1960,9.987628937,9.130620003,12.63351917,12.19100857,Asia
Kazakhstan,1970,11.36545753,11.00687122,12.50420856,12.0344162,Asia
Kazakhstan,1980,11.50475788,11.51887512,12.93875885,12.63570976,Asia
Kenya,1950,5.334233284,NA,NA,7.882286549,Africa
Kenya,1960,6.413649559,5.73884201,8.589960098,9.899302483,Africa
Kenya,1970,8.311699867,6.030955315,9.084795952,10.85791397,Africa
Kenya,1980,10.49634838,8.708538055,10.86533546,11.48631763,Africa
Kiribati,1980,7.518609524,7.018778324,11.78304958,10.55647182,Oceania
"Korea, Rep.",1940,3.837352753,1.338714361,6.712827206,10.14446735,Asia
"Korea, Rep.",1950,5.679133892,2.586277246,9.874723434,11.88292694,Asia
"Korea, Rep.",1960,6.884687901,4.279900074,12.33313084,13.49954891,Asia
"Korea, Rep.",1970,9.132658005,7.437494278,14.19960213,14.52304935,Asia
"Korea, Rep.",1980,11.4457922,10.25616455,14.98397064,14.9396801,Asia
Kosovo,1940,3.10658884,1.312184095,3.725309849,7.888702393,Europe
Kosovo,1950,4.987936497,3.185327291,6.156871796,10.79534721,Europe
Kosovo,1960,5.762473106,4.448618889,8.073591232,10.72619915,Europe
Kosovo,1970,7.48662281,4.999093533,8.322368622,10.10688877,Europe
Kosovo,1980,10.04037476,7.159265041,10.66567039,11.58778191,Europe
Kyrgyz Republic,1940,8.107255936,6.896631241,10.44042683,11.928195,Asia
Kyrgyz Republic,1950,8.422029495,7.640234947,11.5084486,11.8900547,Asia
Kyrgyz Republic,1960,9.212594032,8.724829674,12.35347843,12.05672932,Asia
Kyrgyz Republic,1970,10.04515457,9.936644554,11.78091431,12.05398369,Asia
Kyrgyz Republic,1980,10.21930695,10.50191593,12.35469913,11.89091873,Asia
Lao PDR,1950,1.4544245,0.172327891,3.444372892,5.71981144,Asia
Lao PDR,1960,1.649169087,0.753257453,4.598336697,7.113044739,Asia
Lao PDR,1970,3.331843376,1.275520205,4.614465237,7.811043739,Asia
Lao PDR,1980,5.827187061,2.58843255,7.137096405,8.06252861,Asia
Latvia,1940,8.611058235,6.879090309,12.07421494,12.63101864,Europe
Latvia,1950,10.39677715,8.796394348,13.94067001,13.88485241,Europe
Latvia,1960,10.88079929,10.51580238,13.99181175,13.91145325,Europe
Latvia,1970,12.24877453,11.93329334,13.95512295,13.70976639,Europe
Latvia,1980,12.90700817,12.93035507,14.2260561,13.64417839,Europe
Lebanon,1980,8.676222801,9.755267143,13.98741341,11.55427265,Asia
Lesotho,1980,0.024498206,0.03695048,2.711059809,1.898674607,Africa
Liberia,1940,1.091294646,0.714355946,0.492983729,4.944328308,Africa
Liberia,1950,2.226884127,0.691908121,1.156702399,7.224479675,Africa
Liberia,1960,2.188657761,0.624091923,2.764991045,8.46552372,Africa
Liberia,1970,4.544822693,0.99719435,3.560395241,7.937801361,Africa
Liberia,1980,5.930339813,2.306632757,4.590404987,8.21279335,Africa
Lithuania,1940,5.356955528,5.158814907,11.05023861,11.3327322,Europe
Lithuania,1950,8.445738792,7.215074539,13.12067509,12.76350975,Europe
Lithuania,1960,9.118659019,9.604106903,13.49399567,12.74194813,Europe
Lithuania,1970,11.52388096,12.23660755,14.19217205,13.6671114,Europe
Lithuania,1980,12.9224844,13.03512669,14.64890099,14.50101089,Europe
"Macedonia, FYR",1940,4.421246052,3.389247179,7.675664425,9.354018211,Europe
"Macedonia, FYR",1950,5.91513586,4.453181267,8.420459747,9.999607086,Europe
"Macedonia, FYR",1960,6.227892399,5.616255283,8.831583977,10.01416302,Europe
"Macedonia, FYR",1970,7.77663517,6.909823418,9.207901955,10.20618153,Europe
"Macedonia, FYR",1980,9.25587368,8.371567726,11.86785316,11.86080074,Europe
Madagascar,1940,2.98709321,1.786716461,4.183206558,5.65312767,Africa
Madagascar,1950,3.3291502,2.523938417,5.200780392,5.934781075,Africa
Madagascar,1960,3.275358438,2.527665615,5.4879179,6.195186138,Africa
Madagascar,1970,3.573099136,2.883220196,5.224268913,5.444920063,Africa
Madagascar,1980,4.106688976,3.158643961,5.292560101,5.632525921,Africa
Malawi,1940,0.228930965,0.07170213,1.214105606,3.016462088,Africa
Malawi,1950,1.173536777,0.203792065,1.960491657,4.27270174,Africa
Malawi,1960,1.117846131,0.459664017,2.866481543,4.824361324,Africa
Malawi,1970,1.808681488,0.796636343,3.613664627,5.861177921,Africa
Malawi,1980,2.593783855,1.310646415,5.000163555,6.410828114,Africa
Malaysia,1960,6.317855835,3.22699666,10.83996391,11.62303162,Asia
Malaysia,1970,7.234118938,5.595696449,12.41189003,12.46192837,Asia
Malaysia,1980,9.031755447,7.87786293,14.06374645,13.85053444,Asia
Maldives,1980,2.387849808,1.679440737,12.4012928,11.78133297,Oceania
Mali,1940,0.497343957,0.370972812,0.265820116,0.759840012,Africa
Mali,1950,0.930988431,0.2868402,0.870910466,1.877269864,Africa
Mali,1960,0.785397112,0.25964731,1.093439698,1.661018252,Africa
Mali,1970,1.225151658,0.444998503,0.8022089,2.157811165,Africa
Mali,1980,1.928957701,0.867051482,1.682743549,3.452232361,Africa
Mauritania,1940,2.815891743,1.72632885,0.070423886,0.34570238,Africa
Mauritania,1950,2.521613121,1.924232364,0.406954885,1.656779885,Africa
Mauritania,1960,2.987081289,1.896819949,1.344361305,3.581777811,Africa
Mauritania,1970,3.38393116,1.970079184,2.02886796,3.775195837,Africa
Mauritania,1980,1.688330889,0.979568183,4.292237759,5.076605797,Africa
Mauritius,1980,8.354885101,8.1831007,12.68215752,11.39916325,Oceania
Mexico,1940,1.465253711,1.550758243,5.154491425,5.488984585,Americas
Mexico,1950,2.794310093,2.147045612,6.434001923,8.808856964,Americas
Mexico,1960,3.09952116,2.991772413,8.483123779,8.908758163,Americas
Mexico,1970,4.840111732,4.065826893,9.492357254,9.949586868,Americas
Mexico,1980,6.642023087,6.759074688,11.09175205,10.88614941,Americas
Moldova,1940,5.620896816,4.493531704,9.893141747,10.54631519,Europe
Moldova,1950,6.516441822,5.808383942,10.99721813,10.97975063,Europe
Moldova,1960,8.26790905,7.366685867,11.45357323,11.58491898,Europe
Moldova,1970,9.159872055,9.320406914,11.32829952,11.26930428,Europe
Moldova,1980,10.65039635,10.65215588,12.34533024,11.67897511,Europe
Mongolia,1940,NA,4.692594051,9.315823555,NA,Asia
Mongolia,1950,5.68544817,5.448102474,9.996728897,10.44841003,Asia
Mongolia,1960,6.859024048,6.289771557,10.7571125,10.2460022,Asia
Mongolia,1970,8.122506142,6.984757423,11.01719856,10.85312653,Asia
Mongolia,1980,8.075058937,8.259141922,11.54434013,10.62407017,Asia
Montenegro,1940,5.328356266,4.481067657,8.949477196,9.607362747,Europe
Montenegro,1950,7.289491653,6.314931393,9.887537956,10.99924374,Europe
Montenegro,1960,9.227645874,7.82996273,11.51111698,11.75688076,Europe
Montenegro,1970,10.06500053,9.144979477,11.72684097,11.59396458,Europe
Montenegro,1980,11.79934216,11.22325325,13.37271881,12.72668839,Europe
Morocco,1940,0.849589944,0.020053776,0.951178491,3.510834694,Africa
Morocco,1950,0.973072112,0.039972495,1.893711686,4.70348978,Africa
Morocco,1960,1.105454564,0.183657959,3.142290354,5.718948841,Africa
Morocco,1970,2.057034492,0.485384732,4.700762272,7.105203152,Africa
Morocco,1980,2.700058699,0.882164478,5.982889175,7.922386646,Africa
Mozambique,1980,4.010569096,2.217516184,5.295924664,6.32904911,Africa
Namibia,1980,4.572329044,4.995443344,8.111917496,7.824954033,Africa
Nepal,1940,1.013382196,0.103347495,0.275442719,1.632068396,Asia
Nepal,1950,1.329498649,0.234318957,0.537064731,3.327545404,Asia
Nepal,1960,1.742639899,0.347446233,1.091634035,4.58714056,Asia
Nepal,1970,2.265868664,0.583442569,2.36725235,6.145792961,Asia
Nepal,1980,3.397544622,0.976828039,4.895048141,7.732948303,Asia
Netherlands,1940,8.637633324,7.048219681,11.61250687,13.29390812,Europe
Netherlands,1950,8.912806511,7.532839298,12.68369961,14.15588474,Europe
Netherlands,1960,9.49032402,8.46413517,14.18581676,14.68774033,Europe
Netherlands,1970,10.58369923,9.313968658,14.85974789,14.94832039,Europe
Netherlands,1980,11.72304249,10.81744576,15.25110245,15.62694359,Europe
New Zealand,1940,10.77108479,11.51515198,13,12.87951851,Oceania
New Zealand,1950,11.16981125,11.48999977,13.69999981,13.46226406,Oceania
New Zealand,1960,12.74683571,12.25,13.9285717,14.53164577,Oceania
New Zealand,1970,13.45098019,13.92134857,15.06741619,14.74509811,Oceania
Niger,1940,0.039292306,0.014880713,0.580102265,2.49326849,Africa
Niger,1950,0.164351389,0.091797508,1.39447093,3.17489028,Africa
Niger,1960,0.224226311,0.136908337,1.644410014,3.514110565,Africa
Niger,1970,0.44029057,0.191509292,1.889320254,3.822018147,Africa
Niger,1980,1.024492145,0.314162016,1.824514747,4.040288925,Africa
Nigeria,1940,1.741791129,0.664913535,2.432971239,5.474514484,Africa
Nigeria,1950,2.63479805,1.087944508,4.12161684,6.486539841,Africa
Nigeria,1960,3.422269583,1.747453809,5.458403587,8.042406082,Africa
Nigeria,1970,4.833731651,2.777717352,6.23708868,8.748846054,Africa
